b,43.08,0.375,y,p,c,v,0.375,t,t,08,t,g,00300,162,true
a,20.42,10.5,y,p,x,h,0,f,f,0,t,g,00154,32,false
b,21.67,1.165,y,p,k,v,2.5,t,t,01,f,g,00180,20,false
b,44.25,0.5,u,g,m,v,10.75,t,f,0,f,s,00400,0,false
a,18.17,10,y,p,q,h,0.165,f,f,0,f,g,00340,0,false
a,18.08,0.375,l,gg,cc,ff,10,f,f,0,t,s,00300,0,true
b,40.00,6.5,u,g,aa,bb,3.5,t,t,01,f,g,00000,500,true
a,40.33,8.125,y,p,k,v,0.165,f,t,02,f,g,-,18,false
b,19.17,9.5,u,g,w,v,1.5,t,f,0,f,g,00120,2206,true
b,20.00,0,u,g,d,v,0.5,f,f,0,f,g,00144,0,false
b,33.50,1.75,u,g,x,h,4.5,t,t,04,t,g,00253,857,true
b,39.92,0.54,y,p,aa,v,0.5,t,t,03,f,g,00200,1000,true
b,80.25,5.5,u,g,-,-,0.54,t,f,0,f,g,00000,340,false
b,20.67,5.29,u,g,q,v,0.375,t,t,01,f,g,00160,0,false
b,56.00,12.5,u,g,k,h,8,t,f,0,t,g,00024,2028,true
b,27.67,13.75,u,g,w,v,5.75,t,f,0,t,g,00487,500,true
b,50.75,0.585,u,g,ff,ff,0,f,f,0,f,g,00145,0,false
b,51.58,15,u,g,c,v,8.5,t,t,09,f,g,00000,0,true
b,28.25,0.875,u,g,m,v,0.96,t,t,03,t,g,00396,0,true
a,18.75,7.5,u,g,q,v,2.71,t,t,05,f,g,-,26726,true
b,40.92,0.835,u,g,ff,ff,0,t,f,0,f,g,00130,1,false
b,23.92,1.5,u,g,d,h,1.875,t,t,06,f,g,00200,327,true
a,60.58,16.5,u,g,q,v,11,t,f,0,t,g,00021,10561,true
b,20.17,8.17,u,g,aa,v,1.96,t,t,14,f,g,00060,158,true
b,25.50,0.375,u,g,m,v,0.25,t,t,03,f,g,00260,15108,true
-,32.25,1.5,u,g,c,v,0.25,f,f,0,t,g,00372,122,false
b,21.83,11,u,g,x,v,0.29,t,t,06,f,g,00121,0,true
a,20.83,3,u,g,aa,v,0.04,t,f,0,f,g,00100,0,true
a,23.00,1.835,u,g,j,j,0,f,t,01,f,g,00200,53,false
b,42.83,4.625,u,g,q,v,4.58,t,f,0,f,s,00000,0,true
a,52.83,15,u,g,c,v,5.5,t,t,14,f,g,00000,2200,true
b,35.00,2.5,u,g,i,v,1,f,f,0,t,g,00210,0,false
b,29.83,2.04,y,p,x,h,0.04,f,f,0,f,g,00128,1,false
a,19.58,0.665,y,p,c,v,1,f,t,01,f,g,02000,2,false
